Date,The audio made me feel like I was physically present in the game world. ,  I was so focused on the game that I lost track of my surroundings  ,  The overall soundscape of the scene was believable.  ,  The audio design was consistent and helped create a cohesive world.  ,"  The audio effectively created a specific mood or atmosphere (e.g., calm, tense, mysterious).   ","  The sound effects made my actions (e.g., jumping, collecting items) feel more satisfying.   ",  The soundscape was emotionally engaging.   ,  The audio enhanced the narrative or the events happening on screen.   ,  The sounds I heard were a good match for the objects and environment I was seeing.   ,  The timing of the sound effects felt perfectly synchronized with the character's actions.   ,  The ambient (background) sounds were appropriate for the game's setting.   ,"  Overall, the quality of the sound design was high.   ",  The soundscape was interesting and did not feel repetitive.   ,  I would enjoy playing a full game with this style of audio.   ,What did you like most about the sound design in the scene you just played?,What did you like least about the sound design in the scene you just played?,Please use three words to describe the atmosphere created by the audio.,Do you have any other comments about your audio experience in this scene?
8/16/2025,5,4,5,5,5,5,5,5,5,5,5,5,4,5,It was Realistic,Loud,"Immersive, Realistic, Helpful",No
8/16/2025,3,2,4,3,3,4,4,3,2,5,2,4,4,2,Similar concepts as stage 1 with the sci-fi background and effects,The volume of the effects did not match the scene. Also enemy damage effect felt out of place and too loud. Too much audio details that reduces immersivenest,"Loud, Distracting, Interesting",No
8/16/2025,5,3,3,4,3,5,4,5,3,5,4,4,3,4,The accuracy,The volume,"interesting, fun, atmospheric",No
8/16/2025,3,2,3,1,2,1,1,3,1,1,3,3,4,2,The sound design from the last robot,The sound wasn't synchronized unlike scene 2,Sound is unsynchronized ,/
8/17/2025,4,4,4,5,3,3,3,4,5,4,4,2,3,3,variety in noise,"no sound of the player walking, a bit low quality ","engaging, lacking depth, calm",no
8/17/2025,4,4,3,3,4,2,2,3,2,2,2,3,2,1,Shooting Noise was good,Enemy attacks were very loud and annoying ,Had to take my headphones off ,Also never use this audio 
9/17/2025,5,3,4,4,5,5,5,4,5,4,5,5,3,4,the sound was better in this last scene ,mainly the repetitive of certain sounds (gun shooting) ,"calming, intense and fast ","mixing up different sounds (voice, charging of weapons of enemies) "
9/17/2025,4,1,4,4,2,3,2,3,4,4,4,2,3,2,Space,Health pickup,Space interesting real,No
8/18/2025,3,2,3,4,4,3,3,4,4,2,3,4,3,3,Audio levels were generally more balanced and clear,Hit Sound effect was way too loud and not synched properly,"Active, Lively, Engaging",More Impactful Gun Sound Effects 
8/19/2025,1,1,1,1,2,1,1,1,2,5,1,1,1,1,The gun sounds,The ambient sounds were too overwhelming,Loud buzzing noise,No
8/19/2025,2,1,1,1,1,2,1,1,1,2,3,1,2,1,The shooting sound from the enemy,Player shooting sound,"sci-fi, futuristic, mechanical",There were some sound effects that were delayed 
