filename,description
exterior_worn-sneakers-on-old-rickety-wooden-boardwalk-over-marshland-walking-pace_qcf_gulf-shores-alabama_zoom-F3-with-rode-ntg2.wav,Exterior worn sneakers on old rickety wooden boardwalk over marshland walking pace gulf shores alabama zoom f3 with rode ntg2.
08-weaponry-ultra-heavy-cannon-c.wav,Weaponry ultra heavy cannon c.
8bit-jump.wav,8bit jump.
airhiss-samsung-galaxy-smartphone-mcu_wagner-steamcleaner-steam-hiss_nicholas-judy_tdc.wav,Airhiss samsung galaxy smartphone wagner steamcleaner steam hiss nicholas judy.
all-in-pain-2.wav,All in pain 2.
ancestral-pain.wav,Ancestral pain.
assault-rifle-reload.wav,Assault rifle reload.
battle-on-planet-51.wav,Battle on planet.
big-robot-footstep-005.wav,Big robot footstep.
binaural-recording-of-making-coffee.wav,Binaural recording of making coffee.
boiling-water.wav,Boiling water.
breathing-with-pain.wav,Breathing with pain.
breathing_jumping.wav,Breathing jumping.
cannonfire_1.wav,Cannonfire 1.
carpet-dragging-feet-and-jumping.wav,Carpet dragging feet and jumping.
coffee-bubbling-milk-frothing-steam-releasing.wav,Coffee bubbling milk frothing steam releasing.
coffee-machine-steam.wav,Coffee machine steam.
coffee-maker-water-pour-steam-hiss.wav,Coffee maker water pour steam hiss.
creaking-floorboards-02.wav,Creaking floorboards.
creaking-floorboards-03.wav,Creaking floorboards.
creaking-floorboards-04.wav,Creaking floorboards.
creaking-floorboards-05.wav,Creaking floorboards.
creaking-floorboards-06.wav,Creaking floorboards.
creaking-floorboards-07.wav,Creaking floorboards.
creaking-floorboards-08.wav,Creaking floorboards.
creaking-floorboards-09.wav,Creaking floorboards.
creaking-floorboards-10.wav,Creaking floorboards.
creaking-floorboards-11.wav,Creaking floorboards.
creaking-floorboards-12.wav,Creaking floorboards.
creaking-floorboards-13-long-slow.wav,Creaking floorboards long slow.
creaking-floorboards-14.wav,Creaking floorboards.
creaking-floorboards-15.wav,Creaking floorboards.
creaking-floorboards-16.wav,Creaking floorboards.
creaking-floorboards-17-quick-fast-swift.wav,Creaking floorboards quick fast swift.
creaking-floorboards-18.wav,Creaking floorboards.
creaking-floorboards.wav,Creaking floorboards.
creaking-wooden-stairs.wav,Creaking wooden stairs.
cripsy-sample.wav,Cripsy sample.
crowd-on-washington-dc.wav,Crowd on washington dc.
crunching-footsteps-through-snow-in-the-backyard.wav,Crunching footsteps through snow in the backyard.
crunching-leaves.wav,Crunching leaves.
crunchy-stomps.wav,Crunchy stomps.
cry-pain-woman-2.wav,Cry pain woman 2.
cry-pain-woman.wav,Cry pain woman.
cyberbreak-200bpm.wav,Cyberbreak bpm.
